h3,sectores,ha_agricola,ha_cosechada,clientes,sam_usd,horas_capital,horas_puerto,costo_viaje,region_nat,dep,prov,prospectos,empresas,exportadores,fob_export,centro_lat,centro_lon,km2,sam_por_km2,res
85b3352ffffffff,7,1777.932542467402,1090.6238899931232,40.573451408278814,139038.19140580474,2.6780900001715535,4.560440995766085,97.60549667341812,SIERRA,MOQUEGUA,MARISCAL NIETO,0,2,0,0.0,-16.784411546394775,-70.75367609865908,276.9983355327215,501.94594540940955,5
858f51a3fffffff,1,7161.659014821559,2201.143990203725,75.82545795126933,138918.90575781412,2.2051552209359557,5.604266166238714,83.8539906063514,SIERRA,CAJAMARCA,CAJABAMBA,3,2,0,0.0,-7.48000707114445,-77.95636862778007,299.63799370522634,463.62246669719,5
858f54b7fffffff,3,5479.662628153243,2103.465631605253,57.25580411765047,138707.0941514694,1.6763298973244989,5.607693517925344,60.227388700371996,SELVA ALTA,CAJAMARCA,JAEN,0,0,0,0.0,-5.557764429178925,-78.64354239911549,298.861057914782,464.1189960286519,5
858b6193fffffff,4,1839.6460524108688,1267.2409722826287,65.39301167542928,138405.10324039584,2.112320708208911,10.663035026968355,76.3105551489106,SIERRA,CUSCO,PARURO,0,0,0,0.0,-13.926815067319756,-71.97247042923182,284.6217941362581,486.2772496407518,5
858e697bfffffff,2,1353.4542067571788,763.9838840724758,28.75624819732826,138257.3323053635,3.4723107462239375,11.814603805192387,130.01962045953633,SIERRA,AREQUIPA,LA UNION,0,0,0,0.0,-15.330243421253146,-73.25127001204118,286.58600187415675,482.42876972781767,5
858f59cffffffff,6,3384.080380297602,1573.3334001790674,46.449838736429236,138240.2161881383,1.2759835978511698,4.297626430743024,45.3411386913013,SIERRA,HUANUCO,DOS DE MAYO,4,6,0,0.0,-9.860822571331372,-76.8659075788312,298.60027025074584,462.96078724929754,5
85b3205bfffffff,2,5246.277375489552,1752.2226387132114,82.19308577068102,137994.6261741587,1.2224440968917487,6.412642705090995,44.17961529185173,SIERRA,PUNO,CHUCUITO,0,0,0,0.0,-16.351578103868526,-69.57361974602493,273.76363120059256,504.06485905005786,5
858f7267fffffff,2,7100.285471276118,2182.280762248726,75.17565362020662,137728.40709065233,2.7420701259255376,8.70317511056627,103.51893559634783,SELVA ALTA,CAJAMARCA,SAN IGNACIO,0,6,1,568894.7420000001,-4.997376130630846,-79.17129729124017,298.8495445734718,460.86202770435193,5
85b3222ffffffff,2,1232.4811697431996,739.3067855524678,41.74856023095184,137495.06562468293,1.2860532309856214,6.319734414728844,44.9932457356805,SIERRA,TACNA,TARATA,0,2,0,0.0,-17.39537962003969,-69.7932104991848,272.7685610969936,504.0722621101159,5
858e6db3fffffff,3,3870.471731101253,1577.027529244002,47.11526077444476,137062.94618756947,3.1951663973051456,13.5135720924378,115.28416366161052,SIERRA,APURIMAC,ABANCAY,1,0,0,0.0,-13.651618359823708,-72.38395670489784,286.103542340066,479.06763078331574,5
