h3,dep,prov,centro_lat,centro_lon,sam_usd,clientes,cluster,horas_al_territorio
868e6eacfffffff,AYACUCHO,HUANCA SANCOS,-13.887474337401589,-74.40293034019265,11671.303378143846,3.757452992140295,-1,
868f6a8afffffff,LORETO,REQUENA,-6.420039963013055,-74.16913345549015,11664.780189837638,3.3484274185968217,-1,
868e63047ffffff,HUANCAVELICA,CASTROVIRREYNA,-13.154002878136597,-75.70274537329658,11663.156702963142,2.999683483937616,-1,
86b3260cfffffff,PUNO,PUNO,-15.974978513526354,-69.93358833845596,11594.524293186316,6.905991603595991,-1,
868f5d4b7ffffff,HUANUCO,HUACAYBAMBA,-8.94717847915397,-77.11420453381885,11593.43907305128,3.8954899680636985,-1,
868e6089fffffff,JUNIN,JAUJA,-11.619862539454877,-75.72945221685531,11581.958184967812,3.961231617116438,-1,
868f42d67ffffff,AMAZONAS,RODRIGUEZ DE MENDOZA,-6.550962146424328,-77.40640984986146,11559.103794778575,3.3044392879316984,-1,
868e6daefffffff,APURIMAC,COTABAMBAS,-13.972951393454386,-72.34806338416236,11532.94738103458,2.065881857887246,-1,
868f45677ffffff,LORETO,UCAYALI,-6.524743273740872,-75.28869898837283,11529.729227756505,3.309660434823367,-1,
868f59027ffffff,HUANUCO,HUANUCO,-9.997184323025245,-76.56416231655498,11509.997141189971,3.867452799244902,-1,
868e60627ffffff,LIMA,YAUYOS,-12.24085925320227,-75.8918439946668,11506.142747320544,2.356015405877645,-1,
868e61c27ffffff,HUANCAVELICA,TAYACAJA,-12.147668393450946,-75.0020582585992,11493.94363576423,2.9561630498158618,-1,
868e6c0efffffff,APURIMAC,CHINCHEROS,-13.37713276120897,-73.75214908323296,11458.64654151029,2.0525724451822653,-1,
868e6d10fffffff,APURIMAC,ABANCAY,-13.754271822183894,-72.78582006600362,11365.469254031224,2.035881718916862,-1,
868e6db17ffffff,APURIMAC,ABANCAY,-13.659191839144103,-72.44661294000694,11350.11449757726,2.033131241372615,-1,
868b7136fffffff,MADRE DE DIOS,TAMBOPATA,-12.71217374199376,-69.23302496434667,11323.430108896227,6.37632409053002,-1,
868f41107ffffff,LORETO,UCAYALI,-7.073126340145166,-75.29648122595998,11322.246810362063,3.250101677266533,-1,
868f5c50fffffff,ANCASH,PALLASCA,-8.130448154209438,-77.83162149738082,11295.254089214706,7.192633959029687,-1,
868e64257ffffff,JUNIN,CHANCHAMAYO,-11.19037867140863,-75.29238255952374,11293.05221996712,3.862420740349536,-1,
86b335a1fffffff,MOQUEGUA,GENERAL SANCHEZ CERRO,-16.280284058097998,-70.5915228105457,11269.382936077229,3.2885767308616365,-1,
868b65147ffffff,CUSCO,CHUMBIVILCAS,-14.583336642067565,-72.025190601516,11233.210473373078,5.30741603047656,-1,
868e6ec87ffffff,HUANCAVELICA,HUAYTARA,-13.43829301303643,-75.28669754379744,11218.207719858496,2.8852456735054925,-1,
868f59bafffffff,HUANUCO,HUANUCO,-9.908823576173496,-76.22072396044926,11184.54155769939,3.758097072048743,-1,
868e6d2dfffffff,APURIMAC,ANTABAMBA,-14.439439798702209,-72.61423809238039,11177.089408016978,2.0021374822170226,-1,
868f5a82fffffff,ANCASH,CASMA,-9.449451108504563,-78.38277236489107,11174.525735990685,7.115756108707932,-1,
868e6d757ffffff,APURIMAC,ANTABAMBA,-14.205917268409753,-72.92718972747235,11165.991167436969,2.00014946882277,-1,
868e6dd9fffffff,APURIMAC,ANDAHUAYLAS,-13.483989983859448,-73.2615810875893,11165.78190792602,2.000111984438859,-1,
868f503a7ffffff,CAJAMARCA,SAN MIGUEL,-7.037048437429083,-79.21211176633308,11151.304332211985,6.086664396983168,-1,
868b6139fffffff,CUSCO,PAUCARTAMBO,-13.047758044677051,-71.88178102925104,11139.87712382945,5.263318315338034,-1,
868e6d627ffffff,APURIMAC,ANTABAMBA,-14.213470071685292,-72.99019407339775,11137.137186696946,1.994980892797125,-1,
868e68867ffffff,APURIMAC,ANDAHUAYLAS,-14.00842374438884,-73.55603711877386,11131.072386520667,1.9938945130329644,-1,
868f59397ffffff,HUANUCO,LAURICOCHA,-10.324555058682565,-76.53208522420529,11108.387228096572,3.732508596953207,-1,
868e6894fffffff,APURIMAC,ANDAHUAYLAS,-13.95097404745419,-73.53026660475122,11098.57142533272,1.988072658145072,-1,
868b6d95fffffff,AYACUCHO,HUANTA,-12.47759929872736,-74.00800446816001,11094.0890288166,3.571624921896876,-1,
868e6d31fffffff,APURIMAC,GRAU,-14.110583387607369,-72.58714050755056,11081.275218383404,1.984974411099776,-1,
868b62937ffffff,PUNO,CARABAYA,-14.097321592500638,-69.9382855176192,11075.850112283277,6.5970561571953645,-1,
868f4835fffffff,UCAYALI,CORONEL PORTILLO,-9.419180586077813,-74.07651030200977,11058.447823381874,2.2504276247717723,-1,
868f58a4fffffff,HUANUCO,HUAMALIES,-9.481545883729863,-76.93467329343449,11054.163964119178,3.714289138557069,-1,
868e6d017ffffff,APURIMAC,ABANCAY,-13.876588621538115,-72.89973123769887,10990.325016370076,1.968682619756004,-1,
